,data_transakcji,data_księgowania,dane_kontrahenta,tytuł,nr_rachunku,nazwa_banku,nr_transakcji,kwota_transakcji_(waluta_rachunku),waluta,konto,saldo_po_transakcji,waluta_salda,red_flag
27,2019-02-06,2019-02-06,PKO BP,Płatność PKO BP,PL15103476201630699676412860,ING,3586522663,4339.88,PLN,Wspólne,-444265.3,PLN,0
28,2019-02-07,2019-02-09,PGNiG,Płatność PGNiG,PL87672086713573761357492972,mBank,1257327471,-131.55,PLN,Konto w EUR,-444396.85,PLN,0
29,2019-02-10,2019-02-11,Allegro,Płatność Allegro,PL83975496399635904808276659,Millennium,5708007278,-50.17,PLN,Moje,-444447.02,PLN,0
30,2019-02-12,2019-02-13,Allegro,Płatność Allegro,PL22354246758708460203086932,mBank,8675984637,-278.61,PLN,Moje,-444725.63,PLN,0
31,2019-02-14,2019-02-16,Booking.com,Płatność Booking.com,PL95981962387496383342930546,ING,2242655074,-801.18,EUR,Moje,-445526.81,EUR,0
32,2019-02-15,2019-02-17,ATM ING,Płatność ATM ING,PL31155986332044057306471513,Santander,7168173516,-1292.5,PLN,Konto w EUR,-446819.31,PLN,0
33,2019-02-16,2019-02-16,Lidl,Płatność Lidl,PL39017677120072803690031962,Millennium,1308153577,-125.67,PLN,Moje,-446944.98,PLN,0
34,2019-02-16,2019-02-18,Biedronka,Płatność Biedronka,PL28896261323706710746084196,Millennium,9584591001,-463.09,PLN,Wspólne,-447408.07,PLN,0
35,2019-02-19,2019-02-20,Amazon,Płatność Amazon,PL53940501297657107967170570,ING,9916932604,-522.1,USD,Wspólne,-447930.17,USD,0
36,2019-02-19,2019-02-21,Booking.com,Płatność Booking.com,PL17953633417055597303523733,Santander,3842794212,-924.08,EUR,Konto w USD,-448854.25,EUR,0
37,2019-02-20,2019-02-20,Booking.com,Płatność Booking.com,PL63292400392923641862839435,mBank,2388025958,-436.19,EUR,Konto w USD,-449290.44,EUR,0
38,2019-02-20,2019-02-21,PGNiG,Płatność PGNiG,PL85291331941142575838146689,ING,9202622469,-191.47,PLN,Konto w USD,-449481.91,PLN,0
39,2019-02-21,2019-02-23,Firma XYZ,Płatność Firma XYZ,PL44183506451313035593874516,ING,5426502879,7406.76,PLN,Moje,-442075.15,PLN,0
40,2019-02-22,2019-02-24,Biuro Nieruchomości ZEFIR,Płatność Biuro Nieruchomości ZEFIR,PL62725899338800174452752893,Santander,7233791558,-548081.77,PLN,Konto w USD,-990156.92,PLN,1
41,2019-02-25,2019-02-27,Allegro,Płatność Allegro,PL55841496501871308546406343,PKO BP,6086235198,-128.72,PLN,Moje,-990285.64,PLN,0
42,2019-02-26,2019-02-26,Orlen,Płatność Orlen,PL72685197426510890468238115,mBank,5406165428,-131.21,PLN,Konto w USD,-990416.85,PLN,0
43,2019-02-28,2019-02-28,Zabka,Płatność Zabka,PL22844099753779758808199530,mBank,2178772608,-105.75,PLN,Wspólne,-990522.6,PLN,0
44,2019-03-07,2019-03-09,Zabka,Płatność Zabka,PL75143403151880562865217330,PKO BP,2119599244,-197.63,PLN,Konto w USD,-990720.23,PLN,0
45,2019-03-08,2019-03-09,PKO BP,Płatność PKO BP,PL73730711861804698385238318,Santander,9843313972,8831.01,PLN,Konto w EUR,-981889.22,PLN,0
46,2019-03-08,2019-03-08,PKO BP,Płatność PKO BP,PL11192695280629780830674456,Santander,2750816937,5115.68,PLN,Wspólne,-976773.54,PLN,0
47,2019-03-08,2019-03-08,MediaMarkt,Płatność MediaMarkt,PL34965817150103683721150129,PKO BP,1985130103,-2580.17,PLN,Wspólne,-979353.71,PLN,0
48,2019-03-09,2019-03-11,STS.pl,Płatność STS.pl,PL12038112202915367481219477,Millennium,6487757017,-432.48,PLN,Konto w EUR,-979786.19,PLN,1
49,2019-03-10,2019-03-12,ATM ING,Płatność ATM ING,PL55983316742132870100772341,ING,5300502773,-883.81,PLN,Moje,-980670.0,PLN,0
50,2019-03-11,2019-03-12,Biedronka,Płatność Biedronka,PL80001045271421795023649933,Millennium,4446856319,-376.83,PLN,Wspólne,-981046.83,PLN,0
51,2019-03-16,2019-03-17,Urząd Skarbowy,Płatność Urząd Skarbowy,PL27866754542848034565144185,PKO BP,8620574752,-9339.44,PLN,Wspólne,-990386.27,PLN,0
52,2019-03-17,2019-03-17,PokerStars,Płatność PokerStars,PL28207033970530098526965183,mBank,9403114360,-1937.65,EUR,Moje,-992323.92,EUR,1
53,2019-03-17,2019-03-19,Biuro Notarialne,Płatność Biuro Notarialne,PL14520120812935635820175147,PKO BP,1312621735,-11036.68,PLN,Konto w EUR,-1003360.6,PLN,1
54,2019-03-23,2019-03-23,PKO BP,Płatność PKO BP,PL47538171036188002873705318,mBank,9921511630,6409.57,PLN,Konto w EUR,-996951.03,PLN,0
55,2019-03-26,2019-03-26,ATM ING,Płatność ATM ING,PL82656399108329080807501289,Millennium,7245450482,-1222.64,PLN,Wspólne,-998173.67,PLN,0
56,2019-03-28,2019-03-28,Auto Komis Katowice,Płatność Auto Komis Katowice,PL88909298470652165732087921,Millennium,1958948752,-45546.19,PLN,Konto w USD,-1043719.86,PLN,1
57,2019-03-30,2019-03-31,Amazon,Płatność Amazon,PL81902516454265915693968121,Millennium,1626674261,-610.91,USD,Wspólne,-1044330.77,USD,0
58,2019-04-06,2019-04-08,Biuro Notarialne,Płatność Biuro Notarialne,PL48775525413566423496545669,PKO BP,3472651123,-10901.54,PLN,Konto w EUR,-1055232.31,PLN,1
59,2019-04-09,2019-04-11,PokerStars,Płatność PokerStars,PL67576822173164750247321972,Millennium,7752397545,-1149.84,EUR,Moje,-1056382.15,EUR,1
60,2019-04-11,2019-04-11,Auto Komis Katowice,Płatność Auto Komis Katowice,PL56119049618559538957432175,mBank,4839112850,-56393.41,PLN,Konto w USD,-1112775.56,PLN,1
61,2019-04-15,2019-04-16,Zabka,Płatność Zabka,PL70118585466392989167704496,mBank,7100479730,-87.91,PLN,Wspólne,-1112863.47,PLN,0
62,2019-04-16,2019-04-18,Amazon,Płatność Amazon,PL78713741141382068220688668,ING,5651425320,-375.57,USD,Konto w EUR,-1113239.04,USD,0
63,2019-04-22,2019-04-23,ATM ING,Płatność ATM ING,PL44456635004915710125024575,Santander,5591801596,-777.41,PLN,Moje,-1114016.45,PLN,0
64,2019-04-26,2019-04-28,ATM ING,Płatność ATM ING,PL89232529310452314893487834,mBank,6130129180,-665.03,PLN,Konto w USD,-1114681.48,PLN,0
65,2019-04-29,2019-04-29,Biuro Notarialne,Płatność Biuro Notarialne,PL51680386796885495652826042,mBank,8891417109,-10455.12,PLN,Wspólne,-1125136.6,PLN,1
66,2019-05-01,2019-05-02,PokerStars,Płatność PokerStars,PL92246210573976715017879431,mBank,3900443486,-1625.14,EUR,Wspólne,-1126761.74,EUR,1
67,2019-05-01,2019-05-01,ATM ING,Płatność ATM ING,PL56652004151479809862690468,Millennium,5432018576,-1371.24,PLN,Moje,-1128132.98,PLN,0
68,2019-05-05,2019-05-06,Orlen,Płatność Orlen,PL48159586735852516254942727,Santander,3578494751,-241.89,PLN,Konto w EUR,-1128374.87,PLN,0
69,2019-05-05,2019-05-05,Auto Komis Katowice,Płatność Auto Komis Katowice,PL36943321480796006780964759,Santander,2627035121,-50070.55,PLN,Wspólne,-1178445.42,PLN,1
70,2019-05-07,2019-05-07,Vattenfall,Płatność Vattenfall,PL47008486283234076967171746,PKO BP,8708728501,-174.68,PLN,Konto w EUR,-1178620.1,PLN,0
71,2019-05-13,2019-05-13,Urząd Skarbowy,Płatność Urząd Skarbowy,PL22776617975882782609820639,mBank,2661614934,-5087.7,PLN,Moje,-1183707.8,PLN,0
72,2019-05-16,2019-05-16,Vattenfall,Płatność Vattenfall,PL38444923491990235439538021,Millennium,3577385098,-153.04,PLN,Konto w USD,-1183860.84,PLN,0
73,2019-05-19,2019-05-21,STS.pl,Płatność STS.pl,PL34290597910531012250912936,Millennium,1562735040,-288.5,PLN,Konto w EUR,-1184149.34,PLN,1
74,2019-05-19,2019-05-21,Booking.com,Płatność Booking.com,PL28448937486996345530414350,mBank,3939892409,-436.91,EUR,Wspólne,-1184586.25,EUR,0
75,2019-05-20,2019-05-21,Firma XYZ,Płatność Firma XYZ,PL10766643625469749734052441,Santander,1925345701,7073.67,PLN,Wspólne,-1177512.58,PLN,0
76,2019-05-20,2019-05-22,Biuro Nieruchomości ZEFIR,Płatność Biuro Nieruchomości ZEFIR,PL92267116138433674061247549,mBank,1032598523,-381378.29,PLN,Wspólne,-1558890.87,PLN,1
77,2019-05-21,2019-05-22,Biedronka,Płatność Biedronka,PL17543530079841004680280232,ING,3475852032,-238.09,PLN,Wspólne,-1559128.96,PLN,0
78,2019-05-22,2019-05-23,Allegro,Płatność Allegro,PL18995923720457048074337851,ING,6762092117,-130.89,PLN,Moje,-1559259.85,PLN,0
79,2019-06-01,2019-06-02,Firma XYZ,Płatność Firma XYZ,PL68271831964149103430517152,mBank,8301503992,6719.34,PLN,Moje,-1552540.51,PLN,0
80,2019-06-03,2019-06-05,MediaMarkt,Płatność MediaMarkt,PL10072795037764147214494665,mBank,1932846334,-2609.94,PLN,Wspólne,-1555150.45,PLN,0
81,2019-06-07,2019-06-08,Booking.com,Płatność Booking.com,PL82531391788503184342823632,Santander,5619103195,-964.25,EUR,Konto w EUR,-1556114.7,EUR,0
82,2019-06-13,2019-06-14,Firma XYZ,Płatność Firma XYZ,PL11988216712217148845224009,ING,7936109089,6934.44,PLN,Konto w EUR,-1549180.26,PLN,0
83,2019-06-13,2019-06-14,Allegro,Płatność Allegro,PL26156689862188199577996425,ING,8172939011,-212.97,PLN,Konto w USD,-1549393.23,PLN,0
84,2019-06-13,2019-06-15,Santander Leasing,Płatność Santander Leasing,PL62609568591308716266275459,ING,2480049401,-2963.04,PLN,Konto w USD,-1552356.27,PLN,0
85,2019-06-15,2019-06-16,Santander Leasing,Płatność Santander Leasing,PL99054106443751046521610666,PKO BP,3378442596,-1880.28,PLN,Konto w EUR,-1554236.55,PLN,0
86,2019-06-18,2019-06-18,Lidl,Płatność Lidl,PL21478664735643401353081549,Millennium,1257157317,-145.69,PLN,Wspólne,-1554382.24,PLN,0
87,2019-06-20,2019-06-22,Amazon,Płatność Amazon,PL84038154370978267626147371,Millennium,2897512416,-78.67,USD,Konto w USD,-1554460.91,USD,0
88,2019-06-20,2019-06-21,Lidl,Płatność Lidl,PL48078181130507512446580562,PKO BP,1649264282,-155.91,PLN,Konto w USD,-1554616.82,PLN,0
89,2019-06-21,2019-06-21,PKO BP,Płatność PKO BP,PL21081460092174715969684527,PKO BP,8389326831,5621.94,PLN,Konto w EUR,-1548994.88,PLN,0
90,2019-06-22,2019-06-24,Santander Leasing,Płatność Santander Leasing,PL22863174442631446920929578,mBank,4632696653,-2064.8,PLN,Konto w EUR,-1551059.68,PLN,0
91,2019-06-24,2019-06-25,Allegro,Płatność Allegro,PL32159302714275607745261143,mBank,7173387385,-35.82,PLN,Konto w USD,-1551095.5,PLN,0
92,2019-06-24,2019-06-26,Firma XYZ,Płatność Firma XYZ,PL84082640172029021494091251,Millennium,8359880081,7418.91,PLN,Moje,-1543676.59,PLN,0
93,2019-06-26,2019-06-27,Lidl,Płatność Lidl,PL62999071310622293847635105,Millennium,9527364106,-159.09,PLN,Wspólne,-1543835.68,PLN,0
94,2019-06-29,2019-07-01,MediaMarkt,Płatność MediaMarkt,PL70014596854510859449529791,mBank,7133085671,-1709.19,PLN,Konto w EUR,-1545544.87,PLN,0
95,2019-06-29,2019-07-01,STS.pl,Płatność STS.pl,PL38330057379077757557666392,mBank,2483594333,-919.06,PLN,Wspólne,-1546463.93,PLN,1
96,2019-06-30,2019-07-02,Lidl,Płatność Lidl,PL70698046105145887018510800,mBank,7059050795,-194.02,PLN,Konto w USD,-1546657.95,PLN,0
97,2019-07-04,2019-07-04,MediaMarkt,Płatność MediaMarkt,PL35484032310610458073969018,mBank,7776411801,-1940.26,PLN,Konto w EUR,-1548598.21,PLN,0
98,2019-07-05,2019-07-05,PKO BP,Płatność PKO BP,PL31368369384811919480965225,mBank,7732286604,705.96,PLN,Konto w EUR,-1547892.25,PLN,0
99,2019-07-06,2019-07-06,Firma XYZ,Płatność Firma XYZ,PL26999575948748532711955029,PKO BP,3113940020,7300.75,PLN,Wspólne,-1540591.5,PLN,0
100,2019-07-11,2019-07-13,PokerStars,Płatność PokerStars,PL49830804075237737061581373,mBank,4721472104,-1434.09,EUR,Moje,-1542025.59,EUR,1
101,2019-07-12,2019-07-14,ATM ING,Płatność ATM ING,PL67447858633299452669408118,ING,1799063485,-948.19,PLN,Wspólne,-1542973.78,PLN,0
102,2019-07-12,2019-07-14,PGNiG,Płatność PGNiG,PL10967507728027774294437165,mBank,9206427606,-191.44,PLN,Konto w USD,-1543165.22,PLN,0
103,2019-07-18,2019-07-18,Biuro Nieruchomości ZEFIR,Płatność Biuro Nieruchomości ZEFIR,PL67808741145687566377388007,ING,3815090155,-442728.21,PLN,Konto w USD,-1985893.43,PLN,1
104,2019-07-18,2019-07-20,Zabka,Płatność Zabka,PL91967067097415213959656843,PKO BP,5697007311,-56.65,PLN,Konto w USD,-1985950.08,PLN,0
105,2019-07-20,2019-07-21,Auto Komis Katowice,Płatność Auto Komis Katowice,PL78815121159845212071543585,PKO BP,3978196985,-55209.51,PLN,Konto w EUR,-2041159.59,PLN,1
106,2019-07-21,2019-07-23,PokerStars,Płatność PokerStars,PL85551119498651792378092383,Santander,2912407355,-221.66,EUR,Konto w USD,-2041381.25,EUR,1
107,2019-07-22,2019-07-24,Allegro,Płatność Allegro,PL31760640235539123018851615,Millennium,2831109959,-139.89,PLN,Moje,-2041521.14,PLN,0
108,2019-07-22,2019-07-23,PKO BP,Płatność PKO BP,PL14188354484259655775166299,ING,7519727542,1139.95,PLN,Konto w EUR,-2040381.19,PLN,0
109,2019-07-23,2019-07-25,ATM ING,Płatność ATM ING,PL41496331338699173653591339,PKO BP,6207717733,-704.01,PLN,Konto w USD,-2041085.2,PLN,0
110,2019-07-26,2019-07-28,Biuro Nieruchomości ZEFIR,Płatność Biuro Nieruchomości ZEFIR,PL88842671569000428118892279,PKO BP,7894504944,-426205.13,PLN,Konto w USD,-2467290.33,PLN,1
111,2019-07-27,2019-07-28,Booking.com,Płatność Booking.com,PL77292244624261954494132123,Millennium,1571577634,-712.45,EUR,Konto w EUR,-2468002.78,EUR,0
112,2019-07-27,2019-07-27,Santander Leasing,Płatność Santander Leasing,PL18046392914772712138135393,ING,4724110138,-2135.92,PLN,Wspólne,-2470138.7,PLN,0
113,2019-08-01,2019-08-03,Vattenfall,Płatność Vattenfall,PL24481079029125972875748465,Millennium,4996589311,-243.24,PLN,Konto w EUR,-2470381.94,PLN,0
114,2019-08-01,2019-08-02,Biedronka,Płatność Biedronka,PL26755695579597748867689838,mBank,6548125017,-421.19,PLN,Moje,-2470803.13,PLN,0
115,2019-08-03,2019-08-03,Lidl,Płatność Lidl,PL93699187755963126402290784,ING,5448393478,-121.4,PLN,Konto w EUR,-2470924.53,PLN,0
116,2019-08-03,2019-08-03,Booking.com,Płatność Booking.com,PL47446176063005451628462660,ING,6792068144,-108.19,EUR,Konto w USD,-2471032.72,EUR,0
117,2019-08-03,2019-08-05,MediaMarkt,Płatność MediaMarkt,PL90843781762312908914963275,ING,3773373043,-2009.9,PLN,Konto w USD,-2473042.62,PLN,0
118,2019-08-07,2019-08-07,PGNiG,Płatność PGNiG,PL17727645568639406334407345,PKO BP,9770592892,-156.65,PLN,Moje,-2473199.27,PLN,0
119,2019-08-08,2019-08-08,PKO BP,Płatność PKO BP,PL59171160122030407717586380,Santander,6505427526,9260.66,PLN,Moje,-2463938.61,PLN,0
120,2019-08-10,2019-08-11,Lidl,Płatność Lidl,PL50583400490175206158488263,ING,1159780353,-180.9,PLN,Konto w USD,-2464119.51,PLN,0
121,2019-08-11,2019-08-11,PKO BP,Płatność PKO BP,PL24454323295352515491732729,ING,9280022678,4345.59,PLN,Konto w USD,-2459773.92,PLN,0
122,2019-08-16,2019-08-18,MediaMarkt,Płatność MediaMarkt,PL98009823375469020897735599,Millennium,8866681438,-2966.65,PLN,Konto w USD,-2462740.57,PLN,0
123,2019-08-16,2019-08-18,Urząd Skarbowy,Płatność Urząd Skarbowy,PL41252520319754624604733810,PKO BP,5981437770,-7474.85,PLN,Moje,-2470215.42,PLN,0
124,2019-08-20,2019-08-21,Lidl,Płatność Lidl,PL42090408605651380744645278,mBank,6109255798,-184.37,PLN,Konto w EUR,-2470399.79,PLN,0
125,2019-08-21,2019-08-23,Auto Komis Katowice,Płatność Auto Komis Katowice,PL60623868714277265891390056,Santander,4030482810,-46004.61,PLN,Konto w EUR,-2516404.4,PLN,1
126,2019-08-24,2019-08-26,Amazon,Płatność Amazon,PL48293374429050920552256614,Millennium,3186910855,-307.68,USD,Konto w EUR,-2516712.08,USD,0
127,2019-08-24,2019-08-25,STS.pl,Płatność STS.pl,PL24586691709231821193625570,Santander,8303158454,-837.0,PLN,Konto w EUR,-2517549.08,PLN,1
128,2019-08-25,2019-08-27,Auto Komis Katowice,Płatność Auto Komis Katowice,PL93472113321399550143558536,mBank,9285123081,-45649.72,PLN,Konto w USD,-2563198.8,PLN,1
129,2019-08-29,2019-08-31,Auto Komis Katowice,Płatność Auto Komis Katowice,PL10665451682960473652149583,PKO BP,1027745802,-52273.16,PLN,Konto w EUR,-2615471.96,PLN,1
130,2019-08-29,2019-08-30,Allegro,Płatność Allegro,PL37663243997898548682369268,Santander,8533156974,-72.55,PLN,Konto w USD,-2615544.51,PLN,0
131,2019-09-01,2019-09-01,Biuro Nieruchomości ZEFIR,Płatność Biuro Nieruchomości ZEFIR,PL49466499445834246570682860,mBank,9889003328,-462035.12,PLN,Konto w EUR,-3077579.63,PLN,1
132,2019-09-06,2019-09-07,Biedronka,Płatność Biedronka,PL90134793768749602524315265,mBank,9346787084,-124.07,PLN,Konto w USD,-3077703.7,PLN,0
133,2019-09-11,2019-09-12,PKO BP,Płatność PKO BP,PL94236942512727809901825192,Santander,4514075410,9698.67,PLN,Moje,-3068005.03,PLN,0
134,2019-09-12,2019-09-13,Auto Komis Katowice,Płatność Auto Komis Katowice,PL29352358785563935698448417,ING,8039058709,-58741.46,PLN,Wspólne,-3126746.49,PLN,1
135,2019-09-15,2019-09-16,Auto Komis Katowice,Płatność Auto Komis Katowice,PL83520619945288335621686649,Santander,4245570982,-57975.44,PLN,Moje,-3184721.93,PLN,1
136,2019-09-18,2019-09-20,MediaMarkt,Płatność MediaMarkt,PL70339667352685413507737182,PKO BP,3587885883,-1938.73,PLN,Moje,-3186660.66,PLN,0
137,2019-09-18,2019-09-18,Orlen,Płatność Orlen,PL17435367377272957317167874,PKO BP,2196827278,-281.48,PLN,Wspólne,-3186942.14,PLN,0
138,2019-09-21,2019-09-21,PGNiG,Płatność PGNiG,PL18020164049575154018483482,mBank,8139159634,-174.01,PLN,Konto w USD,-3187116.15,PLN,0
139,2019-09-25,2019-09-26,PKO BP,Płatność PKO BP,PL76104957068585332062646535,ING,3038978817,7695.22,PLN,Konto w USD,-3179420.93,PLN,0
140,2019-09-27,2019-09-27,Urząd Skarbowy,Płatność Urząd Skarbowy,PL55803107016977279349414355,ING,4670884538,-8258.66,PLN,Wspólne,-3187679.59,PLN,0
141,2019-09-29,2019-10-01,PGNiG,Płatność PGNiG,PL33573340822882081279402081,PKO BP,8901133586,-182.32,PLN,Wspólne,-3187861.91,PLN,0
142,2019-09-30,2019-09-30,Firma XYZ,Płatność Firma XYZ,PL40993493036289989839291264,PKO BP,9968937503,7523.23,PLN,Moje,-3180338.68,PLN,0
143,2019-10-03,2019-10-04,Vattenfall,Płatność Vattenfall,PL12055791922367025900368125,Santander,5386240502,-186.58,PLN,Konto w EUR,-3180525.26,PLN,0
144,2019-10-04,2019-10-05,Lidl,Płatność Lidl,PL86263568539016334951858926,Millennium,1490869240,-160.61,PLN,Konto w EUR,-3180685.87,PLN,0
145,2019-10-05,2019-10-05,Biedronka,Płatność Biedronka,PL20714792104218712994705022,Santander,4906403575,-385.35,PLN,Konto w USD,-3181071.22,PLN,0
146,2019-10-09,2019-10-11,Zabka,Płatność Zabka,PL72102146997779197908144060,mBank,4082789249,-25.53,PLN,Konto w EUR,-3181096.75,PLN,0
147,2019-10-11,2019-10-11,Orlen,Płatność Orlen,PL59307837384780601539428299,mBank,4065447021,-281.95,PLN,Konto w EUR,-3181378.7,PLN,0
148,2019-10-12,2019-10-14,Lidl,Płatność Lidl,PL26680766924088405844404547,mBank,7745052966,-187.33,PLN,Konto w USD,-3181566.03,PLN,0
149,2019-10-17,2019-10-19,Biuro Nieruchomości ZEFIR,Płatność Biuro Nieruchomości ZEFIR,PL47519799093210055441176589,Millennium,9264063291,-368257.94,PLN,Konto w USD,-3549823.97,PLN,1
150,2019-10-17,2019-10-19,PGNiG,Płatność PGNiG,PL34103674489372352703686860,ING,4764952857,-174.3,PLN,Moje,-3549998.27,PLN,0
151,2019-10-18,2019-10-18,Lidl,Płatność Lidl,PL73083597214345357954757951,Santander,2567092504,-163.12,PLN,Wspólne,-3550161.39,PLN,0
152,2019-10-18,2019-10-19,PGNiG,Płatność PGNiG,PL29889937452140066792070094,mBank,1011225863,-151.43,PLN,Moje,-3550312.82,PLN,0
153,2019-10-18,2019-10-18,ATM ING,Płatność ATM ING,PL17679797636199436861350534,ING,8500228243,-227.03,PLN,Moje,-3550539.85,PLN,0
154,2019-10-20,2019-10-22,PokerStars,Płatność PokerStars,PL42259394496403130363802653,PKO BP,5786919718,-263.43,EUR,Wspólne,-3550803.28,EUR,1
155,2019-10-20,2019-10-20,Biedronka,Płatność Biedronka,PL40661840894129000747755479,PKO BP,6227277682,-445.6,PLN,Wspólne,-3551248.88,PLN,0
156,2019-10-25,2019-10-26,Zabka,Płatność Zabka,PL18110859773042645283620345,Millennium,3528207961,-36.09,PLN,Moje,-3551284.97,PLN,0
157,2019-10-25,2019-10-27,Auto Komis Katowice,Płatność Auto Komis Katowice,PL10549578812411612932889314,mBank,1192650241,-51650.51,PLN,Wspólne,-3602935.48,PLN,1
158,2019-10-27,2019-10-29,PokerStars,Płatność PokerStars,PL61854647330667391025119889,Millennium,3933217062,-1428.14,EUR,Wspólne,-3604363.62,EUR,1
159,2019-10-28,2019-10-28,Biedronka,Płatność Biedronka,PL75718765513849603657040185,ING,7088048157,-465.56,PLN,Wspólne,-3604829.18,PLN,0
160,2019-10-28,2019-10-29,Auto Komis Katowice,Płatność Auto Komis Katowice,PL31715084367499069500615411,PKO BP,5581784456,-58742.85,PLN,Konto w EUR,-3663572.03,PLN,1
161,2019-10-28,2019-10-28,Orlen,Płatność Orlen,PL10579649213064130232017972,mBank,1946129680,-278.83,PLN,Moje,-3663850.86,PLN,0
162,2019-10-29,2019-10-30,Biedronka,Płatność Biedronka,PL11294726136657560333114559,Millennium,7153186561,-490.77,PLN,Wspólne,-3664341.63,PLN,0
163,2019-10-29,2019-10-30,Biuro Notarialne,Płatność Biuro Notarialne,PL96299810374656647557992076,Millennium,5241002910,-9791.46,PLN,Konto w EUR,-3674133.09,PLN,0
